Zone,Type,Delivery Interval,Dollars per MW
Manitoba,Energy,2019-04-13 09:05:00,5.7
Manitoba,10N,2019-04-13 09:05:00,0.45
Manitoba,30R,2019-04-13 09:05:00,0.45
Manitoba,Energy,2019-04-13 09:10:00,5.7
Manitoba,10N,2019-04-13 09:10:00,0.45
Manitoba,30R,2019-04-13 09:10:00,0.45
Manitoba,Energy,2019-04-13 09:15:00,5.7
Manitoba,10N,2019-04-13 09:15:00,0.45
Manitoba,30R,2019-04-13 09:15:00,0.45
Manitoba,Energy,2019-04-13 09:20:00,5.68
Manitoba,10N,2019-04-13 09:20:00,0.45
Manitoba,30R,2019-04-13 09:20:00,0.45
Manitoba,Energy,2019-04-13 09:25:00,5.68
Manitoba,10N,2019-04-13 09:25:00,0.45
Manitoba,30R,2019-04-13 09:25:00,0.45
Manitoba,Energy,2019-04-13 09:30:00,5.6
Manitoba,10N,2019-04-13 09:30:00,0.45
Manitoba,30R,2019-04-13 09:30:00,0.45
Manitoba,Energy,2019-04-13 09:35:00,5.68
Manitoba,10N,2019-04-13 09:35:00,0.45
Manitoba,30R,2019-04-13 09:35:00,0.45
Manitoba,Energy,2019-04-13 09:40:00,5.6
Manitoba,10N,2019-04-13 09:40:00,0.45
Manitoba,30R,2019-04-13 09:40:00,0.45
Manitoba,Energy,2019-04-13 09:45:00,5.6
Manitoba,10N,2019-04-13 09:45:00,0.45
Manitoba,30R,2019-04-13 09:45:00,0.45
Manitoba,Energy,2019-04-13 09:50:00,5.6
Manitoba,10N,2019-04-13 09:50:00,0.45
Manitoba,30R,2019-04-13 09:50:00,0.45
Manitoba,Energy,2019-04-13 09:55:00,5.6
Manitoba,10N,2019-04-13 09:55:00,0.45
Manitoba,30R,2019-04-13 09:55:00,0.45
Manitoba,Energy,2019-04-13 09:60:00,5.57
Manitoba,10N,2019-04-13 09:60:00,0.45
Manitoba,30R,2019-04-13 09:60:00,0.45
Manitoba SK,Energy,2019-04-13 09:05:00,0
Manitoba SK,10N,2019-04-13 09:05:00,0.45
Manitoba SK,30R,2019-04-13 09:05:00,0.45
Manitoba SK,Energy,2019-04-13 09:10:00,0
Manitoba SK,10N,2019-04-13 09:10:00,0.45
Manitoba SK,30R,2019-04-13 09:10:00,0.45
Manitoba SK,Energy,2019-04-13 09:15:00,0
Manitoba SK,10N,2019-04-13 09:15:00,0.45
Manitoba SK,30R,2019-04-13 09:15:00,0.45
Manitoba SK,Energy,2019-04-13 09:20:00,-0.02
Manitoba SK,10N,2019-04-13 09:20:00,0.45
Manitoba SK,30R,2019-04-13 09:20:00,0.45
Manitoba SK,Energy,2019-04-13 09:25:00,-0.02
Manitoba SK,10N,2019-04-13 09:25:00,0.45
Manitoba SK,30R,2019-04-13 09:25:00,0.45
Manitoba SK,Energy,2019-04-13 09:30:00,-0.1
Manitoba SK,10N,2019-04-13 09:30:00,0.45
Manitoba SK,30R,2019-04-13 09:30:00,0.45
Manitoba SK,Energy,2019-04-13 09:35:00,-0.02
